baiTamaina banAma suparamaina	batman vs superman
mujhe kaॉmeDI pasaMda hai jo maz2edAra hai lekina isameM eka acchI kahAnI hai|	mujhe vaha comedy achi lagatI hai jo funny bhI ho aura achi kahAnI sAtha ho
oha hA~ yaha eka nizcita rUpa se donoM hai aura phira jeniphara enisTana ke caritra ke sAtha kahAnI bhI hai	acchA ye ika pakke rUpa meM doMno aura phira Jennifer Annistons ke character ke sAtha hI kahAnI hai
kyA Apa isa philma kI siphAriza kareMge?	kyA tuma isa movie kI siphAriza karoge
oha hA~	are hA~
Apane brUsa sarvazaktimAna ke bAre meM jo kahA hai usase yaha eka bahuta acchI philma kI taraha lagatA hai|	jo tumane kahA hai use bruce almighty ika bAta achi movie lagatI hai
maiM vAstava meM isake bAre meM bhUla gayA thA, aura yaha kitanA acchI taraha se likhA gayA hai aba jaba maiM vAstava meM isake bAre meM socatA hUM	mujhe yAda bhUla gayA , aura kitanA acchA likhA ki aba maiM isake bAre socane lagegA
yaha eka AMsU jhaTakA kA eka sA bhI lol	yaha ika aanshu jhaTakane vAlA bhI hai
maiM ise dekhane ke lie apanI philmoM kI sUcI meM jor3ane ke lie utsuka hUM|	maiM isa movie ko apanI dekhI jAne vAlI list meM add karane ke bAre soca rahA hU~ .
mujhe acchI philmeM pasaMda haiM lekina una philmoM ke daurAna AsAnI se rotA hUM jo AMsU bahAne vAlI haiM|	meM feel good movies like karatA hU~ but ina rUlAne vAlI movies ke daurAna AsAnI se rone lagatA hU~ .
maiM isa eka ko jor3UMgA, yaha dekhane lAyaka hai	maiM isase add karUMgA , yaha dekhane lAyaka laga rahI hai
mujhe AzA hai ki merI philma kI dukAna meM yaha hai.	I hope mere movie store meM yaha hogI .
yaha bhI eka klAsika kA eka sA lagatA hai vizeSa rUpa se yaha jima kairI hone ke sAtha	yaha thor3I sI classic jaisI bhI laga rahI especially isa Jim Carrey ke hone se .
yA maiM kisI aise vyakti ko DhUMDhanA hogA jo karatA hai|	aura mujhe aisI to find karanI par3egI jo aisA karatA hU~
mere pAsa neTaphliksa hai maiM vahA~ jAMca karU~gA	mere pAsa netflix hai maiM vahAM check karatA hU~ .
mujhe isa philma ke bAre meM batAne ke lie dhanyavAda maiM isakI sarAhanA karatA hUM|	mujhe isa movie ke bAre meM batAne ke lie thank you , I appreciate it
Apa abhI bhI eka philma kI dukAna lol kauna sA eka hai?	tumhAre pAsa abhI bhI movie store hai , lol kauna sA ?
pArivArika vIDiyo	Family Video
yaha zahara meM kevala eka hI hai	eka hI hai nagara meM
mujhe vizvAsa nahIM hai ki neTaphliksa ke pAsa yaha hai, lekina jA~ca karane lAyaka hai	maiM neTaphliksa meM bharosA nahIM karatA , para ceka karanA hai
yaha bhI lAla baॉksa ..	RED BOX bhI
oha hA~, hamAre pAsa eka bhI hai maiM isake bAre meM bhUla gayA	oha sahI aura eka bhI maiM bhUla gayA
oha hA~ maiM lAla baॉksa ke bAre meM bhUla gayA	OH YEAH RED BOX ke BARE meM maiM bhUla gayA
ve yaha honA cAhie, phira se yaha eka klAsika hai	unako honA cAhie , vaha eka CLASSIC thA
unameM se koI bhI ho sakatA hai aura Apa kA svAgata hai!	kisI eka ko aura Apa kA svAgata
mujhe AzA hai ki Apa ise utanA hI AnaMda leMge jitanA maiMne kiyA!	mujhe vizvAsa hai mere jaisA Apa ko bhI maz2A AyA hogA
are, vahA~ isa philma kahA jAtA hai brUsa sarvazaktimAna jima kairI ke sAtha yaha meM, Apa ise dekhA hai yA Apa karanA cAhate haiM?	Hey , vahAM pe Bruce Almighty movie lagI hai , jisameM jima Carrey hai , tumane dekhI hai kyA ? kyA tuma dekhanA cAhogI ?
maiMne ise nahIM dekhA hai|	nahIM , maiMne nahIM dekhI .
kyA tumane ise dekhA hai?	kyA tumane dekhI hai ?
yaha kisa bAre meM hai?	yaha kisa bAre meM hai ?
maiMne ise dekhA hai, yaha vAstava meM maz2edAra hai| yaha 2003 meM banAI gaI eka kaॉmeDI hai apane bhAgya para eka TIvI riporTara ke bAre meM jo bhagavAna se zikAyata karatA hai aura badale meM eka saptAha ke lie bhagavAna bana jAtA hai	maiMne dekhA hai ise , yaha bahuta funny hai . yaha eka comedy hai jo 2003 meM banI hai , yaha eka badakismata tv reporter ke bAre meM hai jo bhagavAna se complain karatA hai aura badale meM khuda eka haphte ke lie bhagavAna bana jAtA hai .
mujhe kaॉmeDIz2a pasaMda haiM| kyA jima kairI isameM bahuta acchA hai?	mujhe comedies pasaMda hai . kyA jima Carrey acchA hai isa meM ?
yaha unakI sabase acchI philmoM meM se eka ke rUpa meM jAnA jAtA hai, isalie maiM kahUMgA ki hA~, yaha bahuta slaipasTika kaॉmeDI hai	yaha usakI eka behatarIna film meM se eka hai , isalie maiM kahU~gA kI hA~ , yaha eka bahuta hI slapstick comedy hai .
kyA yaha bhI eka romAMsa hai?	isameM romance bhI hai ?
nahIM, yaha eka kaॉmeDI hai	nahIM , yaha eka comedy hai .
nahIM yaha nahIM hai	nahIM , ye nahIM haiM .
bahuta burA hai. mujhe romAMTika kaॉmeDIz2a pasaMda haiM.	too bad , mujhe romantic comedies acche lagate haiM .
kyA bhagavAna honA usake lie kAma karatA hai?	bhagavAna bana ne se usake ke lie work out ho jAtA hai kyA ?
hAya! hAya!	hai !
hailo! hailo!	Hello !
maiM sirpha Ayarana maina dekhA. yaha bhayAnaka thA!	maiMne abhI abhI Iron Man dekhI . yaha awesome thI !
oha zAMta! yaha kyA ke bAre meM hai?	Oh cool ! ye kisa bAre meM hai ?
yaha Ayarana maina nAmaka eka suparahIro ke bAre meM hai, vAstavika gaira-suparahIro jIvana meM vaha eka pratibhAzAlI AviSkAraka hai|	yaha eka Superhero Iron Man ke bAre meM hai , real non-superhero life meM vaha eka genius inventor haiM
isameM Ayarana maina urpha TonI sTArka ke rUpa meM raॉbarTa DAunI, jUniyara haiM|	isameM Robert Downey , Jr . Iron Man aka Tony Stark hai
maiM vAstava meM use pasaMda hai. vaha yaha meM acchA thA?	mujhe vaha bohata acchA lagatA hai . kyA vaha isameM acchA hai ?
hA~! isameM kucha anya bar3e nAma bhI abhinaya kara rahe haiM!	hA~ ! isameM kucha aura bar3e nAma bhI haiM jo star kara rahe haiM
jaise ki kauna?	jaise kauna ?
yaha sTArka ke sahAyaka ke rUpa meM Gwyneth Paltrow mila gayA hai aura vaha usa para eka kraza hai.	isameM Gwyneth Paltrow as Stark's assistant hai aura use usapara crush hai
phira sTArka iMDasTrIja, DAunI kI kaMpanI meM agale prabhArI ke rUpa meM jepha brijesa hai|	phira isameM Jeff Bridges hai esa Stark Industries kA next in charge , Downey kI company .
acchA! kyA ve aMta meM huka apa karate haiM?	bar3iyA ! kyA vaha end meM hook up karate haiM ?
kyA Apa vAstava meM jAnanA cAhate haiM yA Apa iMtajAra karanA cAhate haiM jaba Apa ise dekhate haiM?	kyA tuma saca meM jahA~ na cAhate hoM yA khuda watch karane taka wait karanA cAhate ho ?
sTArka eka taraha kA plebaॉya hai|	Stark playboy kI taraha hai
kathAnaka bhI bahuta bar3hiyA hai|	plot bhI awesome hai
yaha anumAna hai. mujhe lagatA hai ki maiM iMtajAra karU~gA. yaha kisane nirdezita kiyA?	yaha sahI hai . I guess meM wait karUMgA . kisane ise direct kiyA .
jaॉna phevro ne ise nirdezita kiyA, ise AlocakoM ke bahuta acche skora mile|	Jon Favreau ne , ise kAphI acche critics ' scores mila .
samIkSAeM kaisI thIM?	reviews kaise the ?
CinemaScore ne ise A diyA, aura Rotten Tomatoes ne 94% diyA|	CinemasScore ne use A diyA aura Rotten Tomatoes pe 94 % thI
vAha yaha bahuta acchA hai. to kathAnaka ke sAtha kyA hotA hai?	Wow , yaha to kAphI acchA hai , to plot ke sAtha kyA hotA hai ?
sTArka ko AtaMkavAdiyoM dvArA pakar3a liyA jAtA hai aura aphagAnistAna meM eka guphA meM kaida kiyA jAtA hai|	Stark ko terrorists capture kara lete haiM aura Afganistan meM cave meM baMdhI banA ke rakhate haiM
unheM usake sIne meM eka upakaraNa lagAnA par3atA hai kyoMki vaha eka visphoTa meM ghAyala ho jAtA hai aura yaha zrApanela ko rakhatA hai jise ve haTA nahIM sakate haiM usake dila taka pahuMcane se|	usakI chest meM eka device DAlanI par3I thI , kyoki eka blast meM vaha injure ho jAtA hai aura vaha device shrapnel ko usake heart jAne se rokatA hai .
to ve use jIvita rakhanA cAhate haiM? kyoM?	vaha usako jiMdA rakhanA cAhate haiM ? kyoM ?
AtaMkavAdI samUha ko dasa challe kahA jAtA hai, ve cAhate haiM ki vaha unake lie eka yarIho misAila kA nirmANa kare|	usa terrorist group kA nAma Ten Rings hai , vaha use Jericho missile apane lie banavAnA cAhate haiM
maiM samajhatA hU~. to vaha kaise bhAgatA hai?	I see . To vaha bhAgatA kaise hai ?
mujhe basa yaha kahane do ki vaha dUra ho jAtA hai aura misAila kA nirmANa nahIM karatA hai|	maiM basa yaha kahatA hU~ ki vaha bhAga jAtA hai aura missile nahIM banatA hai
lekina jaba vaha apanI kaMpanI meM vApasa AtA hai to use patA calatA hai ki usake eka karmacArI gupta rUpa se hathiyAroM ke DIlara ke rUpa meM kAma kara rahA hai|	But jaba vaha apanI company to use patA calatA hai ki usakA hI eka employee secretly arms dealer bana rakhA hai
gaMdA mola!	gaMdA gaddAra !
to vaha usake sAtha kyA karatA hai?	so usane usake sAtha kyA kiyA ?
vaha eka gAMva para hamale ko viphala karatA hai jise AtaMkavAdI naSTa karane kI koziza kara rahe haiM, apane Ayarana maina giyara meM ur3ate hue sabhI suparahIro kI taraha|	unhoMne village para attack foil kiyA , terrorists use distroy karane kA try kara rahI hai , usane apanI Iron man gear pahana kara flying kI jaise Superhero karate haiM .
usake eka karmacArI ke rUpa meM usake rUpa meM eka sUTa banAtA hai, aura ve ise bAhara ducking samApta.	usake employee ke mUla ne usake jaise suit banavAyA , unhoMne use end kara diyA
to svAbhAvika rUpa se lohe kI jIta hotI hai, hai nA?	Aha ha ! so naturally Iron sahI kahate haiM ?
aMta se ThIka pahale ve donoM sTArka iMDasTrIja Taॉvara ke zIrSa para lar3a rahe haiM|	we donoM fighting end hone ke just pahale stark industries tower ke top para the
Age bar3ho!	Go on !
sTArka ke pAsa apane Ayarana maina sUTa ko cArja karane ke lie nayA riekTara nahIM hai jo dUsare AdamI ke pAsa hai, isalie use bahuta burI taraha se pITA jA rahA hai|	Stark ke pAsa new reactor nahIM thA Iron man suit ko charge karane ke lie jaisA ki other guy ke pAsa thA , so use bahuta bad whooped kara rahA thA .
kyA Apa sunizcita haiM ki Apa aMta jAnanA cAhate haiM?	tuma ending jAna ne ke lie sure hoM ?
nahIM. calo ise kharAba nahIM karate. dhanyavAda!	Nope , isa spoil mata karo . Thanks
hAya vahA~! caiTa karane ke lie taiyAra?	Hi there ! Chat ke lie ready ho ?
hAya !	hai
hA~	yes
ThIka hai. to mere pAsa jo philma hai vaha mUla Ayarana maina hai. yaha 2008 meM AI thI. kyA Apane ise dekhA hai?	Alright . So to mere pAsa jo movie hai vaha original Iron man hai . yaha 2008 meM AI thI . kyA tumane ise dekhA hai ?
to philma kyA hai?	So movie kyA thI
maiM vAstava meM hai lekina yaha eka samaya ho gayA hai	mere pAsa actually hai para kucha samaya ke lie
to mujhe isake bAre meM batAo	so mujhe isake bAre meM batAo
kUla. isake pAsa raॉTana TamATara skora 94 hai, eka meTAkriTika skora 79 hai aura eka sinemAskora A hai, jinameM se sabhI ke sAtha maiM sahamata hU~. mujhe lagA ki yaha eka bahuta acchI philma thI. tumhAre bAre meM kyA?	Cool . isakA Rotten tomatoes score 94 hai , MetaCritic score 79 aura CinemaScore AI hai , aura saba se maiM agree hU~ . I thought yaha kI bahuta acchI moiva hai . Apa kyA socate ho ?
maiMne socA ki yaha bhI acchA thA	maiM bhI socatA hUM ki yaha good hai .
mujhe Ayarana maina ke rUpa meM raॉbarTa DAunI jUniyara pasaMda hai	mujhe Robert Downey jora Iron man ke rUpa meM acchA lagA .
hA~, yahA~ bhI. mujhe lagatA hai ki vaha eka zAnadAra kAma kiyA eka sanakI, amIra vyApArI-banAyA-supara hIro hone.	Yeah , mujhe bhI . I feel like ki usane being eccentric , rich businessman-turned-superhero bahuta acchA kAma kiyA
TereMsa haॉvarDa bhI jemsa roDsa ke rUpa meM isameM the, jepha brijesa ke sAtha obAdiyAha sTena ke rUpa meM, prAthamika pratidvaMdvI| gvenetha pAlTro bhI pepara paॉTsa the|	james rhodes meM tenter howard the aura obadiah sTena kI role jeff bridges kara rahe the .. gwyneth paltrow kA role to pepper ports kara rahe the .
hA~ mujhe yaha pasaMda AyA kyA pahale eka kI sAjiza thI	hA~ mujhe pasaMda haiM ... to first plot kisa bAre meM haiM
maiM unheM bhramita ho jAte haiM	mujhe to yaha mixed up lagA
maiM vAstava meM isa bAre meM abhI taka bhUla gayA thA, lekina paricaya aphagAnistAna meM seTa kiyA gayA hai, TonI eka AtaMkavAdI samUha dvArA kabjA kara liyA jA rahA hai ke sAtha.	mujhe to almost forgot huvA lekina usakA intro kucha afghanistan se liyA gayA haiM .. tony ne jaba usa terrorist group ko captured kiyA
maiM TereMsa haॉvarDa ke rUpa meM acchI taraha se	hA~ mujhe bhI terrance howard ko pasaMda haiM
maiM vAstava meM Terrance ke bAre meM bahuta kucha nahIM patA hai.	actually mujhe terrance ke bAre meM aura kucha nahIM patA haiM .
vaha sAmrAjya para khelatA hai vaha pravAha meM halacala meM thA	vaha empire ke role play kara rahA haiM jo hustle in flow meM haiM
Aha, maiM samajhatA hU~. una meM se koI bhI nahIM dekhA hai.	Aha , acchA to isalie mujhe unheM nahIM dekhA
aura kucha anya acchI philmeM	aura kucha ache movies haiM
lekina kisI bhI taraha hAtha meM viSaya ke lie vApasa	hA~ lekina topic yAda nahIM AtA .
Ayarana maina kI kucha AlocanAtmaka pratikriyAeM thIM: "Azcaryajanaka seTa aura yAMtrikI jo apekSAkRta nirbAdha sIjI ke sAtha sucArU rUpa se gaThabaMdhana karatI haiM"	Iron man ke bAre meM kucha critical response aisI thI : " zAnadAra sets aura mechanics jo smoothly combine karate haiM relatively seamless CG se "
isa filma meM kyA hotA hai	isa movie meM kyA hotA hai
mujhe yAda hai ki sIjI 2009 kI philma ke lie kAphI sabhya thA|	mujhe yAda haiM CG eka bahuta hI decent movie thI 2009 ke lie
maiM Apako batAnA pasaMda karUMgA lekina mere pAsa aba kathAnaka sArAMza ke sAtha pRSTha nahIM hai, hAhA|	maiM batAnA to cAhatA hU~ para mere pAsa vo peja nahIM haiM jisameM plot summary thI , haha :)
hA~ maiM eka kaThina samaya yAda kara rahA hU~ jo eka thA jo	yeah , i'm having a hard time yaha yAda kara ne meM naI kaunasA vAle kaunasA haiM
oha ThIka hai ki acchA nahIM hai	oh well bahuta burA huA
khaira tuma kyA jAnate ho	well kiyA patA hai tumheM
oha ThIka hai, yahA~ hama jAte haiM. yaha sirpha unheM mujhe vApasa de diyA. mUla rUpa se vaha eka rakSA anubaMdha pradarzana de rahA hai, aura kabjA kara liyA hai aura ghAyala ho gayA hai. eka sAthI vaijJAnika bhI kabjA kara liyA hai aura eka upakaraNa hai ki usakI chAtI meM dhAtu ke Tukar3e kisI bhI gaharAI meM jAne se rakhatA hai banAtA hai.	hA~ ThIka hai , here we go . vo mujhe abhI vApasa milI . basically vaha eka defense contract demonstration de rahA hai aura vaha pakar3A jAta haiM aura ghAyala bhI ho jAtA hai . eka fellow scientists bhI pakar3A jAtA hai aura eka device create karatA haiM jo metal shards ko chAtI meM deeper jAne se rokatA haiM .
hA~ mujhe isake bAre meM thor3A yAda hai	hAM mujhe yAda haiM thor3A bahuta usake bAre meM
TonI skraipa se eka dhAtu kA sUTa banAkara bhAga jAtA hai jabaki AtaMkavAdI samUha ke lie eka misAila banAne kA nATaka bhI karatA hai| dhAtu kA sUTa usakA proToTAipa Ayarana maina sUTa hai|	tony escape kara jAtA haiM eka metal suit se jo scrap se banI thI , yaha pretend karate hue ki vaha terrorist group ke lie missile banA rahA hai . yaha metal suit usake prototypical Iron Man suit hai
yaha vizvAsa karanA muzkila hai ki yaha philma pahale se hI 10 sAla purAnI hai	believe karanA muzkila hai ki yaha movie already 10 years old hai
mujhe patA hai. manoraMjana udyoga meM samaya bahuta tejI se gujaratA hai.	I know . entertainment industry meM time bar3A quickly jAtA hai
bAtacIta mere lie khatma ho gayA hai. eka mahAna dina hai!	merI conversation cAlU hai . have a great day !
hailo	Hello
mujhe yaha filma dekhanA acchA lagegA	mujhe yaha moiva watch karane khuzI hogI
hailo!	hello !
kyA Apane ise dekhA hai?	kyA Apane use dekhA hai ?
nahIM. lekina maiM karanA cAhatA hU~. yaha bahuta dilacaspa lagatA hai aura adhikAMza philmoM ke lie kanekTa karatA hai maiM dekhA hai	Nope , para maiM cAhatA hU~ . yaha bar3A interesting hogA una movies se connect hai jo maiMne watch kI hai
to Apa ina suparahIro philmoM ke prazaMsaka bhI haiM?	So tuma bhI ina superhero movies ke fan ho ?
hA~, maiM hU~	yes maiM hU~
mujhe eDaveMjarsa philmeM bahuta pasaMda haiM	mujhe avengers movie pasaMda hai
aura naI adbhuta mahilAeM	aura new wonder women
kyA Apako lagatA hai ki bena ephleka eka acchA baiTamaina banAtA hai?	Apa kyA socate ho Ben Affleck eka acchA Batman hai
mujhe lagatA hai ki vaha eka choTe se odler pakSa para hai	I think vaha thor3A odd side meM hai
lekina mujhe abhI bhI lagatA hai ki vaha bhAga ke lie acchA hogA	but maiM abhI bhI socatA hU~ ki vaha isa part ke lie bar3hiyA hai
Apa use isa eka meM nizcita rUpa se pasaMda kareMge|	tuma use isa vAlI maiM pasaMda karoge for sure .
mIThA	sweet
mArthA kI bhUmikA nibhAne vAle DAyanA ke bAre meM Apake kyA vicAra haiM	tumhArI diana ke martha play karane ke bAre meM kyA thoughts haiM
isa meM pUre Kryptonite ke sAtha acchA choTA sA mor3a bhI	little twice nice thA pUre Kryptonite ke sAtha isameM bhI
hA~ mujhe mArthA para koI Apatti nahIM hai|	Yea maiM martha ko burA nahIM mAnatA
hA~! yahI maiM soca rahA thA	yes ! ! maiM bhI yahI soca rahA thA .
Apa eka caritra ke rUpa meM mArthA pasaMda nahIM hai?	tumheM martha eka character kI taraha pasaMda nahIM hai ?
hA~ maiM karatA hU~	Yes I do
oha ThIka hai	Oh okay
maiM isa philma ko dekhanA cAhatA hU~. jaise maiM dekhanA cAhatA hU~ ki abhinetA kaise pAtroM ko khelate haiM	maiM yaha movie dekhanA cAhatA hU~ . mujhe yaha dekhane meM acchA lagegA ki actors ne kisa taraha se characters ko play kiyA hai .
isa philma meM baiTamaina ko bacAyA gayA hai	Movie me Batman yaMhA rescued huA thA .
ummIda hai ki yaha saba abhinaya ke sAtha bAhara calA gayA	hopefully ye saba acting ke sAtha khatma ho jAegA
aura grAphiksa	aura graphics
aura basa saba kucha ImAnadAra hone ke lie	aura saba cIjoM ke honest hone ke lie
yaha kAphI acchA hai. yaha lagabhaga 153 minaTa laMbA hai	kAphI acchA hai . vaha lagabhaga 153 minutes laMbA haiM
hA~ aura maiM yaha sasy dekhate haiM ki yaha sTIla ke AdamI aura aMdherI rAta ke bIca meM hai	sahI mujhe lagatA hai ki yaha MAN OF STEEL aura DARK NIGHT ke bIca meM haiM
mujhe yahAM vaMDara vumana kA snIka pIka bhI pasaMda AyA|	mujhe WONDER WOMAN ke SNEAK PEAK bhI acchA lagatA haiM
vaha isameM bhI dikhAI detI hai?	vaha US meM AtI haiM
hA~, hA~|	sahI
yaha kAphI kUla hai	vaha kAphI ThaMDA haiM
yaha bahuta acchA hogA	vaha bahuta acchA hogA
mujhe lagatA hai ki z2aika snAiDara ne ise nirdezita karane meM bahuta acchA kAma kiyA	mujhe lagatA hai z2aika SNYDER eka bahuta acchA DIRECTING kA kAma kiyA hai
maiMne usakI kucha cAloM ko dekhA hai	maiM unakA kucha MOVIES dekhA hai
vaha yaha eka ke sAtha ise mAra DAlA	IS se vaha usako mAra diyA
vaha nirdezana ke sAtha eka mahAna kAma karatA hai	vaha direction ke sAtha bahuta acchA kAma karate haiM
maiM Apase sahamata hU~	maiM tumase sahamata huIM
Aiz2enabarga ne bhI eka acchA leksa lUthara khelA	Eisenberg ne Lex Luther kA bhI role bahuta acche se play kiyA .
hailo! hailo!	Hello !
are, kyA ho rahA hai?	Hey , kyA cala rahA hai
kyA tumane pahale lA lA laiMDa dekhA hai?	kyA tUne lA lA land pahale dekhI hai ?
hA~. maiMne vAstava meM sarAhanA kI ki philma ke zIrSaka meM kitanA vicAra kiyA gayA thA. mujhe lagatA hai ki yaha vAstava meM acchA hai ki yaha laॉsa eMjilsa, saMgIta, aura eka hI samaya meM Apake sira ko bAdaloM meM rakhanA kaise saMdarbhita karatA hai. yaha vAstava meM zAnadAra hai ki unhoMne philma ke itane sAre tatvoM ko itane choTe zIrSaka meM kaise sArAMzita kiyA	hAM , maiMne bahuta appreciate kiyA ki movie ke name ke bAre meM kitanA socA gayA hai . mujhe acchA lagA ki kaise yaha eka hI bAra meM Los Angeles , music , aura bAdaloM meM sira dene ke bAre meM batAyA hai . yaha saca meM bahuta bar3hiyA hai ki kaise movie ke choTe se titles meM itane sAre elements ko pUrA kiyA gayA hai .
kyA tumane ise dekhA hai?	kyA tUne dekhI hai ?
- hA~ maiMne ise dekhA kyoMki AlocakoM ko yaha pasaMda AyA	hA~ - maiMne dekhI kyoMki critics ko yaha achI lagI
maiM kAgaja meM adhikAMza AlocakoM se sahamata hUM	maiM jyAdAtara paper ke sabhI critics ke sAtha agree karatA huIM
hA~. maiM vizeSa rUpa se samIkSA ke sAtha sahamata hU~ ki lA lA laiMDa eka sapane kA pIchA karane meM zAmila kaThinAiyoM ko dikhAne meM saphala hai	hAM . meM sabase jyAdA isa review ke sAtha agree karatA huIM ki lA lA land successful rahI hai sapanoM ko pUrA karane ke lie kie gae hardships ko dikhAne meM .
maiM una do samIkSAoM se asahamata hUM ki philma ubAU hai aura madhya bhAga ubAU thA| mujhe vAstava meM pUrI philma romAMcaka lagI|	maiM anna do reviews se asahamata hU~ jinhoMne likhA thA ki film dull hai aura bIca kA part boring hai . mujhe saca meM pUrI film enthralling lagI .
